		KXJ73423.1	Aedes albopictus
		KXJ73043.1	Aedes albopictus
		DAZ85674.1	Aedes orthomyxo-like virus 2
		DAZ85673.1	Aedes orthomyxo-like virus 2
		AYR04797.1	Longchuang virus
		AXL67891.1	Quaranjavirus quaranfilense
		AXL67890.1	Quaranjavirus quaranfilense
		AXL67889.1	Quaranjavirus quaranfilense
		ASR92125.1	Araguari virus
		ASA47476.1	Wuhan Mosquito Virus 6
		ASA47423.1	Aedes alboannulatus orthomyxo-like virus
		ASA47422.1	Aedes alboannulatus orthomyxo-like virus
		ASA47421.1	Aedes alboannulatus orthomyxo-like virus
		ASA47420.1	Aedes alboannulatus orthomyxo-like virus
		ASA47294.1	Wuhan Mosquito Virus 6
		AQU42767.1	Whidbey virus
		AQU42766.1	Whidbey virus
		AQU42765.1	Whidbey virus
		AQM37673.1	Rainbow trout orthomyxovirus-1
		APP91613.1	Sinu virus
		APP91612.1	Sinu virus
		APP91611.1	Sinu virus
		APP91610.1	Sinu virus
		APG77901.1	Sanxia Water Strider Virus 3
		APG77900.1	Jingshan Fly Virus 1
		APG77898.1	Jingshan Fly Virus 1
		APG77897.1	Jingshan Fly Virus 1
		APG77885.1	Jiujie Fly Virus
		APG77878.1	Jingshan Fly Virus 1
		APG77877.1	Jingshan Fly Virus 1
		APG77863.1	Wuhan Mosquito Virus 4
		APG77861.1	Wuhan Mosquito Virus 4
		ANM86269.1	Isavirus salaris
		AHB34058.1	Upolu virus
		AHB34056.1	Upolu virus
		AHB34055.1	Upolu virus
		AFN73049.1	Tyulek (Tjuloc) virus
		AFN73048.1	Tyulek (Tjuloc) virus
		AED98376.1	Jos virus
		AED98374.1	Jos virus
		AED98371.1	Jos virus
		sp|P27194.2|PA_THOGV	Thogotovirus
		sp|O41353.1|RDRP_THOGV	Thogotovirus
